股票代號,股票名稱,日期,開盤價,最高價,最低價,收盤價,漲跌,漲幅(%),振幅(%),成交量,成交筆數,成交金額(千),均張,成交量變動(%),均張變動(%),股本(百萬),總市值(億),市值比重(%),本益比,股價淨值比,本益比(近四季),週轉率(%),成交值比重(%),漲跌停,成交量(股)
1595,川寶,20190524,40,40.65,40,40.65,0.45,1.12,1.62,12,8,482,1.5,-75,36.36,471,19.1,0.064,10.4,0.79,10.1,0.03,0.002,0,12000
1597,直得,20190524,88.7,89.3,87.4,87.4,-1.3,-1.47,2.14,760,646,66970,1.2,5.26,-7.69,738,64.5,0.215,20.5,3.24,15.4,1.04,0.21,0,760566
1598,岱宇,20190524,40.2,41.15,39.8,40.85,0.9,2.25,3.38,924,576,37439,1.6,82.25,0,930,38,0.012,18.6,2.08,14.4,0.99,0.036,0,924000
1599,宏佳騰,20190524,41.85,42.05,41.85,41.9,0.05,0.12,0.48,54,42,2276,1.3,-29.87,-27.78,620,26,0.087,12,1.64,9.3,0.09,0.007,0,54290
1603,華電,,,,,,,,,,,,,,,,,,,,,,,,
1604,聲寶,20190524,16.6,16.75,16.6,16.75,0.15,0.9,0.9,562,260,9396,2.2,-10.22,4.76,3872,64.9,0.021,12.9,1.01,9.9,0.14,0.009,0,562733
1605,華新,20190524,15.7,15.75,15.55,15.6,-0.05,-0.32,1.28,6139,1854,96051,3.3,-13.78,0,33260,518.9,0.167,8.9,0.65,6.2,0.19,0.093,0,6139579
1608,華榮,20190524,10.05,10.25,10.05,10.15,0.05,0.5,1.98,1072,435,10927,2.5,8.39,25,6328,64.2,0.021,12.7,1,,0.17,0.011,0,1072010
1609,大亞,20190524,11.2,11.35,11.15,11.25,0.15,1.35,1.8,3053,1005,34393,3,39.47,-11.76,5722,64.4,0.021,14.1,0.93,20.2,0.53,0.033,0,3053748
1611,中電,20190524,9.91,9.98,9.91,9.95,0.01,0.1,0.7,256,134,2548,1.9,-20.25,11.76,3984,39.6,0.013,,0.87,36.1,0.06,0.002,0,256003
1612,宏泰,20190524,10.2,10.25,10.1,10.1,0.05,0.5,1.49,183,51,1863,3.6,-47.26,-7.69,3161,31.9,0.01,12.6,0.7,20,0.06,0.002,0,183339
1614,三洋電,20190524,30.75,31.9,30.5,31.7,1.15,3.76,4.58,1054,674,33138,1.6,303.83,0,2691,85.3,0.027,39.7,1.64,41.1,0.39,0.032,0,1054700
1615,大山,20190524,16.95,16.95,16.8,16.95,0.15,0.89,0.89,30,15,506,2,-60,-41.18,1119,19,0.006,10.6,1.11,9.9,0.03,0,0,30000
1616,億泰,20190524,4.5,4.55,4.5,4.52,-0.03,-0.66,1.1,89,24,403,3.7,23.61,27.59,1941,8.8,0.003,46.2,0.54,,0.05,0,0,89066
1617,榮星,20190524,13.8,13.8,13.65,13.8,0.05,0.36,1.09,19,17,272,1.1,-64.15,-52.17,1442,19.9,0.006,10.6,1.1,9.7,0.01,0,0,19801
1618,合機,20190524,8.39,8.39,8.3,8.35,0.05,0.6,1.08,21,12,179,1.8,-87.2,-69.49,2409,20.1,0.006,,0.51,,0.01,0,0,21500
1626,艾美特-KY,20190524,24.65,24.8,24,24.55,-0.05,-0.2,3.25,114,61,2794,1.9,-25.97,35.71,1228,30.1,0.01,21.2,1.15,35.9,0.09,0.003,0,114000
1701,中化,20190524,18.6,18.65,18.5,18.65,0.05,0.27,0.81,339,154,6311,2.2,-38.92,-18.52,2981,55.6,0.018,15.5,0.95,16.2,0.11,0.006,0,339648
1702,南僑,20190524,50.7,51.4,50.5,51.3,0.6,1.18,1.78,285,228,14531,1.3,16.8,-7.14,2941,150.9,0.049,13,2.35,15.3,0.1,0.014,0,285478
1707,葡萄王,20190524,219,220,215.5,219.5,2.5,1.15,2.07,280,262,61278,1.1,83.01,10,1363,299.2,0.096,20.3,4.97,23.1,0.2,0.059,0,280330
1708,東鹼,20190524,25.5,25.55,25.2,25.5,-0.05,-0.2,1.37,240,114,6089,2.1,-19.73,-41.67,2014,51.4,0.017,18.3,0.87,16.7,0.12,0.006,0,240217
1709,和益,20190524,13.7,13.75,13.65,13.75,0,0,0.73,217,92,2979,2.4,106.67,50,5022,69.1,0.022,19.7,0.96,20,0.04,0.003,0,217565
1710,東聯,20190524,24.35,24.45,24.2,24.3,-0.1,-0.41,1.02,1198,921,29090,1.3,84.02,-13.33,8857,215.2,0.069,14.7,1.4,16,0.14,0.028,0,1198137
1711,永光,20190524,16.7,16.9,16.7,16.85,0.15,0.9,1.2,551,289,9268,1.9,0.36,18.75,5478,92.3,0.03,17.4,1.18,21.8,0.1,0.009,0,551056
1712,興農,20190524,20,20.25,19.95,20.25,0.25,1.25,1.5,2524,854,50922,3,49.53,30.43,4205,85.2,0.027,11.2,1.18,10.9,0.6,0.049,0,2524209
1713,國化,20190524,18.85,18.95,18.85,18.95,0.05,0.26,0.53,11,8,210,1.4,37.5,75,1510,28.6,0.009,31.4,1.23,28.9,0.01,0,0,11122
1714,和桐,20190524,6.87,7.02,6.86,6.98,0.11,1.6,2.33,1831,627,12723,2.9,10.7,26.09,10168,71,0.023,35,0.63,25.1,0.18,0.012,0,1831184
1717,長興,20190524,26.1,26.5,26.05,26.25,0.25,0.96,1.73,1631,812,42967,2,305.72,53.85,12403,325.6,0.105,14.7,1.44,15.9,0.13,0.042,0,1631202
1718,中纖,20190524,9.13,9.23,9.11,9.17,0.03,0.33,1.31,2457,906,22553,2.7,33.17,3.85,15224,139.6,0.045,22.9,0.62,19.1,0.16,0.022,0,2457552
1720,生達,20190524,32.6,32.7,32.5,32.5,-0.1,-0.31,0.61,49,46,1613,1.1,4.26,-8.33,1787,58.1,0.019,14.1,1.55,15.2,0.03,0.002,0,49514
1721,三晃,20190524,9.15,9.22,9.15,9.22,-0.09,-0.97,0.75,14,9,134,1.6,27.27,45.45,2223,20.5,0.007,46.6,0.89,38.9,0.01,0,0,14512
1722,台肥,20190524,48.2,49.45,48.2,48.85,0.75,1.56,2.6,5761,3255,282236,1.8,63.57,-10,9800,478.7,0.154,20.5,0.93,19.9,0.59,0.274,0,5761702
1723,中碳,20190524,130.5,131,130,130.5,0,0,0.77,90,87,11823,1,-52.13,-23.08,2369,309.2,0.1,19.5,4.17,19.6,0.04,0.011,0,90488
1724,台硝,20190524,13.4,13.45,13.25,13.35,0,0,1.5,69,21,923,3.3,1050,230,1278,17.1,0.006,19.2,0.85,17.2,0.05,0.001,0,69100
1725,元禎,20190524,14.8,14.9,14.65,14.85,0.05,0.34,1.69,19,16,280,1.2,111.11,-7.69,1818,27,0.009,12.4,0.82,12.5,0.01,0,0,19000
1726,永記,20190524,73,73,73,73,0,0,0,0,2,13,0,,,1620,118.3,0.038,18.3,1.37,16.8,0,0,0,180
1727,中華化,20190524,13,13,12.95,13,0,0,0.38,36,20,468,1.8,24.14,38.46,1102,14.3,0.005,18.6,0.96,22,0.03,0,0,36000
1730,花仙子,20190524,83,85.2,82.6,84.9,1.9,2.29,3.13,538,458,45358,1.2,-51.4,-7.69,632,53.7,0.017,14.3,3.21,14.1,0.84,0.044,0,538813
1731,美吾華,20190524,13.25,13.3,13.2,13.25,0,0,0.75,105,55,1393,1.9,28.05,-13.64,1329,17.6,0.006,22,1,19.7,0.08,0.001,0,105101
1732,毛寶,20190524,10.6,10.6,10.6,10.6,0.1,0.95,0,1,1,11,1,-94.12,-47.37,424,4.5,0.001,112.4,1.03,44,0,0,0,1000
1733,五鼎,20190524,34.2,34.55,33.8,33.95,-0.3,-0.88,2.19,1250,836,42811,1.5,32.42,0,1000,34,0.011,15.7,2.03,34,1.26,0.042,0,1250871
1734,杏輝,20190524,19.1,19.15,18.95,19.15,-0.15,-0.78,1.04,296,137,5652,2.2,116.06,57.14,1677,32.1,0.01,188.9,1.09,507.8,0.18,0.005,0,296938
1735,日勝化,20190524,16.45,16.6,15.95,15.95,-0.5,-3.04,3.95,32,20,522,1.6,39.13,33.33,994,15.9,0.005,39.6,1.12,50.1,0.03,0.001,0,32000
1736,喬山,20190524,60.8,63.2,60,63.2,2.4,3.95,5.26,10613,6948,657805,1.5,15.57,-6.25,3040,192.1,0.062,21.7,2.25,31.4,3.42,0.638,0,10613753
